2025-12-10 22:40:53,986 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0150 | loss 0.1976 | val@20 0.4598 | test@20 0.3862 | best 0.4917 (ep 145) | lr 0.005000
2025-12-10 22:41:01,564 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0155 | loss 0.1967 | val@20 0.5157 | test@20 0.3637 | best 0.5157 (ep 155) | lr 0.005000
2025-12-10 22:41:09,126 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0160 | loss 0.1973 | val@20 0.3497 | test@20 0.2658 | best 0.5157 (ep 155) | lr 0.005000
2025-12-10 22:41:16,692 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0165 | loss 0.1942 | val@20 0.4603 | test@20 0.2561 | best 0.5157 (ep 155) | lr 0.005000
2025-12-10 22:41:24,266 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0170 | loss 0.1941 | val@20 0.3394 | test@20 0.2144 | best 0.5157 (ep 155) | lr 0.005000
2025-12-10 22:41:31,857 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0175 | loss 0.1911 | val@20 0.3864 | test@20 0.1875 | best 0.5157 (ep 155) | lr 0.005000
2025-12-10 22:41:39,541 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0180 | loss 0.1875 | val@20 0.4340 | test@20 0.3224 | best 0.5157 (ep 155) | lr 0.005000
2025-12-10 22:41:47,226 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0185 | loss 0.1885 | val@20 0.5223 | test@20 0.4016 | best 0.5223 (ep 185) | lr 0.005000
2025-12-10 22:41:54,924 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0190 | loss 0.1882 | val@20 0.5439 | test@20 0.4168 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:42:02,625 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0195 | loss 0.1861 | val@20 0.4337 | test@20 0.2650 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:42:10,254 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0200 | loss 0.1842 | val@20 0.4341 | test@20 0.2495 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:42:17,866 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0205 | loss 0.1819 | val@20 0.4725 | test@20 0.2489 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:42:25,472 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0210 | loss 0.1813 | val@20 0.4186 | test@20 0.2478 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:42:33,041 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0215 | loss 0.1798 | val@20 0.5276 | test@20 0.3354 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:42:40,627 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0220 | loss 0.1774 | val@20 0.4064 | test@20 0.1954 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:42:48,242 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0225 | loss 0.1777 | val@20 0.5074 | test@20 0.3749 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:42:55,838 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0230 | loss 0.1767 | val@20 0.4629 | test@20 0.1988 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:43:03,462 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0235 | loss 0.1758 | val@20 0.4517 | test@20 0.2186 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:43:11,025 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0240 | loss 0.1748 | val@20 0.5229 | test@20 0.3680 | best 0.5439 (ep 190) | lr 0.005000
2025-12-10 22:43:18,651 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0245 | loss 0.1724 | val@20 0.5616 | test@20 0.3488 | best 0.5616 (ep 245) | lr 0.005000
2025-12-10 22:43:26,240 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0250 | loss 0.1732 | val@20 0.5067 | test@20 0.3756 | best 0.5616 (ep 245) | lr 0.005000
2025-12-10 22:43:33,880 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0255 | loss 0.1719 | val@20 0.5492 | test@20 0.1678 | best 0.5616 (ep 245) | lr 0.005000
2025-12-10 22:43:41,450 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0260 | loss 0.1715 | val@20 0.5460 | test@20 0.3972 | best 0.5616 (ep 245) | lr 0.005000
2025-12-10 22:43:49,079 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0265 | loss 0.1693 | val@20 0.5395 | test@20 0.3542 | best 0.5616 (ep 245) | lr 0.005000
2025-12-10 22:43:56,717 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0270 | loss 0.1674 | val@20 0.5826 | test@20 0.3787 | best 0.5826 (ep 270) | lr 0.005000
2025-12-10 22:44:04,432 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0275 | loss 0.1702 | val@20 0.5522 | test@20 0.3020 | best 0.5826 (ep 270) | lr 0.005000
2025-12-10 22:44:12,096 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0280 | loss 0.1660 | val@20 0.5560 | test@20 0.1890 | best 0.5826 (ep 270) | lr 0.005000
2025-12-10 22:44:19,673 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0285 | loss 0.1670 | val@20 0.5749 | test@20 0.3526 | best 0.5826 (ep 270) | lr 0.005000
2025-12-10 22:44:27,230 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0290 | loss 0.1664 | val@20 0.5212 | test@20 0.2109 | best 0.5826 (ep 270) | lr 0.005000
2025-12-10 22:44:34,821 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0295 | loss 0.1657 | val@20 0.5480 | test@20 0.2640 | best 0.5826 (ep 270) | lr 0.005000
2025-12-10 22:44:42,380 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0300 | loss 0.1651 | val@20 0.5063 | test@20 0.2517 | best 0.5826 (ep 270) | lr 0.005000
2025-12-10 22:44:49,978 - [A_l2_h256_do0.25_lr0.005_bs64k][run 1/1] Epoch 0305 | loss 0.1636 | val@20 0.5545 | test@20 0.3406 | best 0.5826 (ep 270) | lr 0.005000
