INFO:root:Dataset: 4267 nodes, 2135822 edges
INFO:root:Train edges: 1067911
INFO:root:Valid edges: 133489 pos, 101882 neg
INFO:root:Test edges: 133489 pos, 95599 neg
INFO:root:Loading external features...
INFO:src.data.external_features:Loading cached Morgan features from data/morgan_features.pt
INFO:src.data.external_features:  Morgan fingerprints: 2048 dims
INFO:src.data.external_features:Loaded PubChem features: shape=(4267, 9)
INFO:src.data.external_features:  PubChem properties: 9 dims
INFO:src.data.external_features:Loaded ChemBERTa features: shape=torch.Size([4267, 768])
INFO:src.data.external_features:  ChemBERTa embeddings: 768 dims
INFO:src.data.external_features:Loaded drug-target features: shape=torch.Size([4267, 229])
INFO:src.data.external_features:  Drug-target features: 229 dims
INFO:src.data.external_features:Combined features: 3054 dims total
INFO:root:Loaded features: {'morgan': 2048, 'pubchem': 9, 'chemberta': 768, 'drug_targets': 229}
INFO:root:Total feature dimension: 3054
INFO:root:================================================================================
INFO:root:Model Configuration:
INFO:root:  architecture: GCN + MLP
INFO:root:  num_layers: 2
INFO:root:  hidden_channels: 256
INFO:root:  dropout: 0.5
INFO:root:  fusion: concat
INFO:root:  external_features: ['morgan', 'pubchem', 'chemberta', 'drug_targets']
INFO:root:Training Configuration:
INFO:root:  epochs: 2000
INFO:root:  lr: 0.005
INFO:root:  batch_size: 65536
INFO:root:  eval_steps: 5
INFO:root:  runs: 1
INFO:root:================================================================================
INFO:root:[GCN] Epoch 0200 | loss 0.1920 | val@20 0.4372 | test@20 0.5228 | best 0.5186 (ep 135)
INFO:root:[GCN] Epoch 0205 | loss 0.1924 | val@20 0.4770 | test@20 0.4474 | best 0.5186 (ep 135)
INFO:root:[GCN] Epoch 0210 | loss 0.1928 | val@20 0.5676 | test@20 0.4828 | best 0.5676 (ep 210)
INFO:root:[GCN] Epoch 0215 | loss 0.1915 | val@20 0.5778 | test@20 0.4094 | best 0.5778 (ep 215)
INFO:root:[GCN] Epoch 0220 | loss 0.1888 | val@20 0.5149 | test@20 0.4858 | best 0.5778 (ep 215)
INFO:root:[GCN] Epoch 0225 | loss 0.1875 | val@20 0.5128 | test@20 0.5773 | best 0.5778 (ep 215)
INFO:root:[GCN] Epoch 0230 | loss 0.1856 | val@20 0.4335 | test@20 0.4081 | best 0.5778 (ep 215)
INFO:root:[GCN] Epoch 0235 | loss 0.1854 | val@20 0.5062 | test@20 0.6117 | best 0.5778 (ep 215)
INFO:root:[GCN] Epoch 0240 | loss 0.1838 | val@20 0.5897 | test@20 0.6189 | best 0.5897 (ep 240)
INFO:root:[GCN] Epoch 0245 | loss 0.1819 | val@20 0.5217 | test@20 0.3746 | best 0.5897 (ep 240)
INFO:root:[GCN] Epoch 0250 | loss 0.1871 | val@20 0.5486 | test@20 0.6757 | best 0.5897 (ep 240)
INFO:root:[GCN] Epoch 0255 | loss 0.1823 | val@20 0.5616 | test@20 0.5720 | best 0.5897 (ep 240)
INFO:root:[GCN] Epoch 0260 | loss 0.1804 | val@20 0.5748 | test@20 0.4393 | best 0.5897 (ep 240)
INFO:root:[GCN] Epoch 0265 | loss 0.1804 | val@20 0.5336 | test@20 0.3269 | best 0.5897 (ep 240)
INFO:root:[GCN] Epoch 0270 | loss 0.1796 | val@20 0.5905 | test@20 0.6089 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0275 | loss 0.1786 | val@20 0.5199 | test@20 0.4119 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0280 | loss 0.1804 | val@20 0.5377 | test@20 0.5737 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0285 | loss 0.1735 | val@20 0.5642 | test@20 0.4801 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0290 | loss 0.1772 | val@20 0.5851 | test@20 0.4554 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0295 | loss 0.1755 | val@20 0.5579 | test@20 0.4176 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0300 | loss 0.1741 | val@20 0.4287 | test@20 0.6331 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0305 | loss 0.1761 | val@20 0.5160 | test@20 0.5685 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0310 | loss 0.1774 | val@20 0.4891 | test@20 0.4116 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0315 | loss 0.1730 | val@20 0.5905 | test@20 0.5466 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0320 | loss 0.1709 | val@20 0.5800 | test@20 0.4805 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0325 | loss 0.1714 | val@20 0.5301 | test@20 0.5136 | best 0.5905 (ep 270)
INFO:root:[GCN] Epoch 0330 | loss 0.1727 | val@20 0.5503 | test@20 0.4854 | best 0.5905 (ep 270)
